geohash_6;viviendas_en_venta;precio_venta_medio;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
ezjjrs;10;510200;186;34883;18264;10;0
ezjqjr;7;615000;167;34888;8751;9;6
ezjw1v;2;635000;175;34893;23117;0;0
ezjmyy;20;374810;150;34936;11703;19;0
ezjm2n;7;308286;100;34973;16425;12;0
ezjwen;9;302889;203;34989;31342;6;0
ezj7yh;15;394513;248;35001;40716;2;0
ezjks7;3;339633;165;35020;26008;7;0
ezjnf5;5;366580;141;35047;40381;6;0
ezjphg;19;277130;73;35092;34530;10;0
ezjpsx;1;4500000;710;35106;43708;0;0
ezjpsw;1;895000;365;35106;43669;4;0
ezjpsz;2;857000;283;35106;43315;0;0
ezjpss;1;950000;616;35106;42614;0;0
ezjqsx;1;480000;107;35139;15892;1;0
ezjmv6;2;240000;80;35143;6193;15;0
ezjr61;9;330878;146;35186;27345;8;0
ezjm7p;4;279975;109;35187;9070;1;0
ezjm20;5;536400;309;35216;18569;0;0
ezjkst;1;390000;212;35271;25026;2;0
ezjphe;3;308333;101;35272;35058;12;0
ezjm1p;2;322500;105;35377;16691;4;0
ezjpk3;7;247140;93;35385;38262;14;0
ezjkfp;3;388500;218;35385;19568;0;0
ezjpe3;6;627500;125;35390;44521;0;0
ezjmgf;38;508310;90;35429;2048;35;0
ezjmkt;1;485000;240;35444;10642;2;0
ezjksp;1;260000;140;35445;23301;3;0
ezm2jr;1;395000;62;35456;45779;2;0
ezm2m3;1;350000;180;35456;46450;0;0
ezm2jw;2;232500;188;35456;45017;0;0
ezm2m2;2;294500;235;35456;46254;3;0
ezjpe6;1;167900;75;35461;45238;1;0
ezjw73;11;471400;144;35488;29367;48;0
ezjjq2;1;362500;134;35492;23606;0;0
ezjqtj;1;640000;241;35508;15676;21;0
ezjqtw;3;294333;76;35515;16860;12;3
ezjmz1;2;475000;96;35516;12744;0;0
ezjph9;1;560000;248;35522;34072;0;0
ezjmfd;10;260810;70;35533;4307;10;0
ezjmdr;3;494822;167;35558;5762;6;0
ezjq9f;1;495000;126;35569;14235;0;0
ezjmgt;246;999610;130;35579;423;60;4
ezjq5v;49;786279;126;35594;4768;31;10
ezjqtx;11;305908;84;35596;17068;10;5
ezjmrv;19;571315;204;35687;18546;2;0
ezjmv9;6;388167;96;35699;7708;3;0
ezjpw6;1;375000;190;35707;37875;0;0
ezjmdx;13;280262;83;35715;5570;11;0
ezjphf;3;317333;153;35716;33955;2;0
ezjq6p;5;529600;206;35798;12517;3;0
ezjwsn;1;78700;52;35805;35120;1;0
ezjph7;1;509900;189;35805;35786;2;0
ezm24t;1;365000;220;35814;43939;0;0
ezjmyt;1;362000;166;35826;10984;8;0
ezjrfv;1;565000;123;35841;38853;0;0
ezm24s;1;320000;160;35841;43483;0;0
ezjrfu;4;601250;228;35841;38705;0;0
ezm247;6;339967;188;35841;43089;0;0
ezjr8p;2;437000;246;35853;37632;2;0
ezjmzp;5;286680;98;35927;12830;11;0
ezjjkb;18;286233;123;36033;28614;1;0
ezjqtq;6;426983;108;36034;16220;18;0
ezjkgz;1;184900;55;36038;18593;14;0
ezjt36;4;521250;227;36062;24430;5;0
ezjm1q;5;216700;102;36076;16773;12;0
ezjm3z;4;449954;103;36090;11017;0;0
ezjpjn;12;653558;215;36102;35070;8;0
ezj7wq;1;137500;87;36130;44244;0;0
ezjkf6;4;330873;201;36152;21966;5;0
ezjm99;1;250000;89;36159;10961;2;0
ezjpse;1;1050000;390;36195;41881;0;0
ezjt2g;4;388450;234;36196;22099;7;0
ezjk8r;2;589000;229;36240;26177;1;0
ezjw1s;3;581667;300;36254;22235;0;0
ezjm3n;1;194000;55;36255;13427;5;0
ezjr66;11;575682;195;36286;27732;7;0
ezjjry;16;431806;144;36358;17190;17;0
ezjmvq;17;383324;90;36371;6204;11;0
ezjkb2;17;364458;201;36424;26021;10;0
ezjkey;7;287737;78;36438;24120;1;0
ezjk8u;3;348667;140;36457;27127;1;0
ezjphk;1;1000000;220;36475;36216;9;0
ezjw8g;2;292000;120;36480;23094;8;0
ezjqk6;1;439000;52;36531;8177;2;4
ezjm28;3;529967;188;36577;17055;0;0
ezjnpz;30;744766;121;36583;15558;32;0
ezjqn4;8;475675;123;36588;9626;2;0
ezjr63;27;286137;100;36635;27304;20;0
ezj7wr;12;303598;154;36637;44049;4;0
ezjjng;5;396720;160;36638;24331;13;0
ezjnu8;6;370133;145;36662;31072;3;0
ezjjhq;1;489000;320;36668;30299;2;0
ezjpjh;2;410000;140;36685;34351;2;0
ezjmgb;27;478711;88;36687;3336;15;0
ezjw1h;45;316572;131;36696;20285;6;0
ezjk8t;1;561000;316;36747;27357;2;0
ezjjzg;29;1581690;485;36841;14728;11;0
ezjmgk;34;492015;84;36924;1454;27;3
ezjx2p;1;447000;345;36926;34537;3;0
ezjm3f;1;226000;144;36955;13571;8;0
ezjjq9;8;555338;304;36975;22663;4;0
ezjwj0;34;439926;247;36981;34954;1;0
ezjmvc;1;329000;53;36983;8715;4;0
ezjrrv;5;304600;113;36993;32885;0;0
ezjrrw;3;503633;183;36993;33106;1;0
ezjrrt;2;420000;206;36993;32894;0;0
ezjjrz;1;450000;164;36997;16553;2;0
ezjpt6;1;440000;217;37000;40131;1;0
ezjnrg;11;571818;150;37059;16750;22;0
ezjwj6;1;353000;120;37091;35653;0;0
ezjphm;1;499000;300;37094;36544;4;0
ezjt8w;3;225300;80;37099;18776;1;0
ezj7tv;8;290635;219;37110;44608;0;0
ezjnsx;4;435700;202;37113;30959;14;0
ezjpnf;5;1150000;98;37161;28984;0;0
ezjpnu;1;1150000;650;37161;29276;0;0
ezjpng;1;790000;380;37161;29239;1;0
ezjmyw;1;423000;97;37184;11031;2;0
ezjhxz;11;1345264;466;37186;27337;4;0
ezjkup;1;540000;196;37191;18749;0;0
ezm3mm;7;470057;185;37195;68437;3;0
ezm8c5;1;260000;52;37195;60743;3;0
ezm3mt;1;490000;439;37195;68465;2;0
ezm3y5;2;127500;185;37195;77206;2;0
ezm3yr;2;165000;110;37195;80135;0;0
ezjhzb;21;1612376;240;37210;27155;2;0
ezjm6g;6;581893;275;37234;11393;3;0
ezjjsc;1;529900;261;37237;26389;0;0
ezjjsf;1;439900;127;37237;26356;1;0
ezjkb3;7;519414;270;37297;25424;4;0
ezjm75;7;440271;95;37365;11456;12;0
ezjpk4;1;379900;237;37380;39323;1;0
ezjpw8;6;418417;172;37392;36708;7;0
ezjqjp;31;1129090;220;37404;8044;10;0
ezjpwp;4;415950;170;37413;40774;5;0
ezjpwn;1;499000;270;37413;40758;0;0
ezjpy0;1;374000;326;37413;41199;1;0
ezjpt7;1;250000;48;37430;40908;2;0
ezjm2p;1;269000;70;37453;16397;10;0
ezjqjq;12;358733;73;37486;8063;13;3
ezjqsy;4;560850;120;37491;15741;9;0
ezjpk8;1;499900;200;37505;37331;2;0
ezjm1n;1;395000;110;37516;17370;3;0
ezjqn6;12;308333;55;37527;10441;2;0
ezjjnf;4;398700;204;37534;24597;10;0
ezjjug;8;351590;136;37559;25208;10;0
ezjpph;1;390000;176;37609;28831;0;0
ezjm1j;2;330000;83;37623;17487;5;0
ezjm5b;9;382411;114;37662;17834;15;0
ezjndq;1;550000;258;37675;38271;2;0
ezjndp;1;460000;213;37675;38818;0;0
ezjndh;1;295000;129;37675;38122;0;0
ezjndn;1;419900;268;37675;38797;0;0
ezjncg;2;462450;184;37675;40702;2;0
ezj7y8;1;240000;80;37719;43693;1;0
ezjpp4;2;485000;205;37743;28365;6;0
ezjkeu;2;477500;213;37750;24897;0;0
ezjpp5;5;816000;400;37824;28593;4;0
ezjpwv;1;471000;241;37872;38529;0;0
ezjpwg;1;419000;182;37872;37660;2;0
ezjpx5;1;1500000;217;37872;37187;2;0
ezjmgp;9;766000;179;37876;2557;9;0
ezjmzz;5;641480;262;37893;15212;2;0
ezjwbm;4;280750;130;37935;26314;8;0
ezjngw;1;669900;330;37941;35970;1;0
ezjwgq;1;340000;100;37972;34389;1;0
ezjwgr;1;99500;203;37972;34677;0;0
ezjwep;4;397450;231;37972;31993;0;0
ezjmfw;1;950000;242;37982;4503;0;0
ezjjhm;3;308633;142;38001;30698;1;0
ezjpmt;5;1017580;294;38025;37102;14;0
ezjpxz;1;540000;187;38048;37998;0;0
ezjjq6;1;399900;171;38052;22844;2;0
ezjkb0;1;659000;260;38066;26437;2;0
ezjmzv;5;355000;144;38095;15151;4;0
ezjm89;1;260000;76;38129;13634;12;0
ezjkb1;1;157000;82;38151;25909;1;0
ezjpkr;5;216840;110;38154;40930;3;0
ezj7wx;1;179000;88;38172;44144;0;0
ezjksn;4;362975;187;38174;24103;1;0
ezjwsj;3;403300;185;38225;34302;2;0
ezjnzp;1;648000;654;38245;26672;0;0
ezjmty;14;404500;108;38358;9193;6;0
ezjp6s;1;224900;100;38410;43892;0;0
ezjm2z;4;367250;108;38416;13654;16;0
ezjw53;3;418300;156;38440;28785;0;0
ezjqrt;12;388133;158;38450;17621;11;0
ezjp6e;11;526382;264;38456;44251;0;0
ezjphw;3;560000;267;38465;36395;0;0
ezj7yj;6;388983;231;38480;40337;2;0
ezjks4;4;391950;147;38494;26413;7;0
ezjm6z;3;380667;113;38558;9485;14;0
ezjpkx;1;530000;296;38573;40266;0;0
ezjmgy;183;1324293;133;38607;685;62;9
ezjwsr;1;335000;151;38608;35419;1;0
ezjpwh;1;499000;318;38618;39469;0;0
ezjqk8;22;684445;120;38631;7370;13;0
ezjks5;5;284080;132;38645;25767;7;0
ezjmks;1;550000;322;38665;11032;5;0
ezjw59;2;432500;198;38718;29291;0;0
ezjphd;4;257225;79;38743;34469;4;0
ezjmge;37;494073;85;38766;1399;35;0
ezjjqc;1;749900;410;38792;22065;0;0
ezjt2p;3;561667;190;38799;18288;0;0
ezjngu;3;569300;171;38804;34453;2;0
ezjjrp;1;720000;450;38834;18985;0;0
ezjm6r;2;359995;112;38852;10272;14;0
ezjjnu;3;231600;54;38909;23735;3;0
ezjw5d;2;382500;173;38915;29173;3;0
ezjmvd;3;438167;95;38953;7197;10;0
ezjpk6;1;395000;117;38963;38321;5;0
ezjncv;4;669975;303;39069;41651;1;0
ezjmgj;6;534467;112;39073;1963;12;0
ezjw14;5;442360;171;39088;20286;7;0
ezjt81;4;340000;143;39105;17613;0;0
ezjm93;9;368878;92;39118;11757;14;0
ezjjkc;8;398123;176;39171;28233;0;0
ezjngx;2;482000;285;39210;36598;2;0
ezjmxm;3;1261667;157;39234;14634;3;0
ezjm9b;5;634680;125;39247;10417;3;0
ezjmvh;9;378556;86;39262;5110;14;0
ezjjnd;3;381333;217;39298;24971;0;0
ezjw9j;1;550000;257;39322;25061;0;0
ezjwh5;1;999999;600;39325;31151;0;0
ezjks6;21;338286;176;39329;26437;4;0
ezjmde;1;262000;54;39366;7222;1;0
ezjnsr;1;574900;240;39390;31309;0;0
ezjm2q;2;229250;84;39392;15653;0;0
ezj7vv;2;502500;291;39409;40122;1;0
ezjm6y;1;159500;139;39460;9559;13;0
ezjndr;1;579000;350;39507;38467;0;0
ezjmvz;1;179900;50;39529;7663;14;0
ezjw9h;2;425000;168;39542;24724;9;0
ezjw5u;1;130000;79;39566;30654;1;0
ezjw5g;1;322000;214;39566;30249;0;0
ezjpwm;1;475000;303;39568;39419;3;0
ezjpxw;2;650000;130;39593;37764;0;0
ezjpz8;2;474500;521;39593;38872;0;0
ezjjvh;5;505940;180;39675;24922;4;0
ezjwbt;1;165000;116;39689;26674;0;0
ezjqsz;4;648750;140;39702;16183;0;0
ezjrdw;3;575000;308;39771;35015;0;0
ezjrdx;2;602500;395;39771;35518;0;0
ezjmdu;1;240000;49;39788;6533;7;0
ezjjvq;2;899500;327;39818;23350;1;0
ezjmf4;5;528400;140;39913;6306;5;0
ezjmzf;2;217254;76;39922;15398;0;0
ezjqtn;3;319333;68;39928;15873;16;0
ezjqkh;4;447250;118;39930;9000;9;0
ezjw9m;7;384813;219;40087;25508;9;0
ezjmd7;4;617250;132;40107;7935;8;0
ezjt8t;1;58000;206;40111;19146;7;0
ezjnhu;1;695000;200;40183;25472;3;0
ezjrms;1;720000;340;40215;29701;2;0
ezjjp5;1;320000;90;40290;23338;0;0
ezjwbr;1;550000;300;40305;27091;3;0
ezjt3e;9;350474;153;40316;24409;1;0
ezjk8z;1;202000;115;40321;25709;0;0
ezjjqf;30;273663;104;40336;21784;1;0
ezjjnv;6;409917;175;40360;23317;3;0
ezjqj3;10;526190;129;40361;6672;9;5
ezjmu5;36;532344;89;40367;2046;20;0
ezj7tt;1;89500;71;40430;44534;2;0
ezjrcc;1;230000;54;40443;37512;1;0
ezjnu9;1;549900;250;40497;31076;0;0
ezjnsw;5;490380;169;40501;30287;1;0
ezjq5r;20;687850;189;40558;6249;13;0
ezjmyf;4;515619;125;40577;12198;0;0
ezjq72;45;1152936;289;40639;6645;17;3
ezjw56;2;495000;300;40674;28782;0;0
ezjnuc;2;764500;361;40787;30507;2;0
ezjwsh;2;347450;170;40808;34231;1;0
ezjmgm;21;1107233;134;40860;964;18;0
ezjkun;1;520000;260;40881;19263;0;0
ezjncy;6;373167;106;40917;41620;7;0
ezjw9k;14;292010;117;40925;25216;7;0
ezjjph;3;499933;198;40942;23202;0;0
ezjm7h;2;572500;250;40947;10460;6;0
ezjm6h;5;308597;153;40986;11834;15;0
ezjrcf;15;392487;143;41006;37948;7;0
ezjrcg;3;686667;481;41012;38112;3;0
ezjmv7;9;522111;204;41076;6190;10;0
ezjntx;3;821667;400;41115;27141;0;0
ezjnt2;1;345000;50;41115;26259;0;0
ezjjnc;7;487343;261;41221;24788;7;0
ezjphq;2;664500;305;41231;37044;4;0
ezjqd0;5;703000;213;41232;13069;7;0
ezjmu6;24;604271;99;41287;3120;9;0
ezjjp4;9;489400;207;41291;23715;3;0
ezjngy;1;579000;321;41315;34888;1;0
ezjjvr;3;826633;412;41368;23470;0;0
ezjjne;11;534373;272;41374;24674;2;0
ezjqjb;2;482500;117;41378;8091;13;0
ezjmgv;119;1158974;128;41391;401;43;18
ezjph2;5;406780;195;41469;34726;1;0
ezjrpm;1;159900;480;41473;28160;0;0
ezjjpj;1;486483;170;41490;22767;2;0
ezjm4y;6;410489;120;41529;14663;1;0
ezjnmd;3;696213;169;41617;23686;2;0
ezjpmv;2;535000;70;41646;36174;0;0
ezjmz6;11;517218;122;41677;13524;0;0
ezjmz4;26;485254;147;41677;12700;0;0
ezjmz5;8;556113;129;41677;13020;0;0
ezjmze;2;230257;64;41677;14248;0;0
ezjmyu;14;321500;78;41677;12016;0;0
ezjmz7;2;332700;162;41677;13472;0;0
ezjqqn;3;2133333;688;41751;14051;2;0
ezjqte;2;1085000;202;41751;14943;5;4
ezjnue;2;494900;220;41767;31982;0;0
ezjp40;3;553300;196;41799;41485;2;0
ezjm88;3;476667;89;41808;14539;7;0
ezjqt5;8;289125;91;41830;14545;9;0
ezjwsm;6;340498;205;41866;35345;3;0
ezjw0g;6;528733;196;41869;19703;4;0
ezjw1k;11;330578;93;41874;21423;4;0
ezjph1;1;470000;170;41944;35884;1;0
ezjqv2;8;349875;114;41980;17453;2;0
ezjqh3;56;961425;122;42018;3299;32;12
ezjjx4;14;650043;275;42039;18184;11;0
ezjw5r;5;284180;121;42051;28926;12;0
ezjmry;8;292375;92;42091;17801;3;0
ezjqh8;17;759059;120;42101;3659;29;0
ezjncz;2;480000;153;42159;41805;1;0
ezjqjn;5;473700;80;42191;7553;12;0
ezjpk1;1;266000;82;42217;39057;4;0
ezjqp7;6;432833;134;42310;13796;0;0
ezjjp1;2;614900;249;42312;24360;0;0
ezjq5g;65;875177;130;42354;3501;34;35
ezjnk5;9;228639;106;42357;29178;0;0
ezjn7g;3;691667;315;42357;30156;0;0
ezjnk7;2;660000;273;42357;28997;0;0
ezjn7z;8;896125;283;42357;30975;0;0
ezjn7y;1;1850000;190;42357;30848;0;0
ezjnk4;1;550000;283;42357;29741;0;0
ezjne3;1;558000;261;42357;33001;0;0
ezjmcc;1;195000;85;42367;7015;4;0
ezjnfp;4;655750;277;42389;41421;5;0
ezjmgq;77;1754704;179;42400;1319;12;0
ezjnuj;1;619900;207;42425;34637;0;0
ezjjpn;3;509900;254;42491;22468;1;0
ezjqnr;12;409750;92;42492;11752;7;0
ezjph4;2;770000;303;42542;35887;0;0
ezjrmu;1;205000;71;42607;29857;2;0
ezjm96;1;680000;226;42625;11058;9;0
ezjqv8;9;498452;122;42675;17683;3;0
ezjph5;2;602000;344;42692;36676;1;0
ezjmux;65;962394;126;42718;3442;31;0
ezjqnt;2;628000;132;42729;11515;1;0
ezjqtr;4;415750;102;42829;17036;21;0
ezjm64;5;345580;112;42850;13460;0;0
ezjqk0;191;2006230;234;42890;6591;10;14
ezjjny;17;474212;205;42905;22767;0;0
ezjp5b;2;852000;234;42928;36258;2;0
ezjx02;1;430000;100;42955;27144;0;0
ezjq58;64;990280;121;42963;1813;49;6
ezjjnz;4;343650;92;43005;22472;3;0
ezjt3d;10;484400;250;43026;24646;6;0
ezjn4y;15;646067;302;43046;33034;0;0
ezjw9q;2;372250;106;43063;25574;4;0
ezjjwf;1;399900;114;43121;18917;0;0
ezjpme;1;475000;145;43128;36183;2;0
ezjqvb;4;675348;191;43138;18033;6;0
ezjmxw;1;670000;250;43175;15348;2;0
ezjq5u;50;873440;146;43198;4204;45;15
ezjjr2;1;305000;83;43221;20855;0;0
ezjw77;9;355333;133;43233;29652;12;0
ezjks1;4;412225;215;43277;26950;1;0
ezjndm;1;640000;368;43284;37198;1;0
ezjmvy;6;458333;93;43335;7973;7;0
ezjkeg;1;370000;155;43499;26040;1;0
ezjkef;2;459500;313;43517;26279;0;0
ezjqq2;1;1095000;227;43563;11613;0;0
ezjqkf;5;561400;190;43623;8908;4;0
ezjqsw;3;709667;100;43649;15534;1;0
ezjmvt;5;622600;149;43700;7095;3;0
ezjm3g;4;468750;193;43743;13032;3;0
ezjmu7;38;687989;101;43784;2683;22;4
ezjpms;3;417200;206;43809;36303;6;0
ezjkb8;2;472400;265;43857;25599;0;0
ezjqhy;8;833375;194;43887;7001;14;0
ezjmd0;1;599000;271;43887;10064;1;0
ezjpk0;2;863500;289;43916;38601;0;0
ezjm2r;7;434957;121;43926;15611;2;0
ezjm68;2;336500;73;43951;13820;2;0
ezjjq0;1;199000;50;43951;24064;0;0
ezjnmg;8;525613;207;44021;23529;12;0
ezjjnt;1;457000;301;44021;24366;0;0
ezjm3d;1;214000;73;44023;13927;0;0
ezjnst;1;650000;246;44093;29736;2;0
ezjw7e;5;456200;133;44111;30296;9;0
ezjp5z;2;551450;325;44180;38551;0;0
ezm2n1;4;185000;60;44211;42454;1;0
ezjr1x;2;292350;68;44212;26865;1;0
ezjmu4;6;292150;156;44342;2425;4;4
ezjjqd;14;472607;262;44357;22324;6;0
ezjqhf;21;692795;132;44380;5262;16;7
ezjq59;64;1021473;126;44386;2359;34;3
ezjp46;3;371000;234;44404;41489;2;0
ezjnhg;18;977489;341;44406;25711;8;0
ezjwb0;3;453733;193;44408;23118;1;0
ezjm7k;2;492450;164;44432;10438;10;0
ezjqtz;1;270000;64;44501;17377;3;0
ezjr6h;3;606944;165;44547;29217;6;0
ezjw7x;3;469333;183;44559;31069;0;0
ezjw7m;2;534950;400;44588;30084;6;0
ezjmg7;18;630606;107;44626;1827;13;0
ezjm82;156;346955;200;44711;14414;1;0
ezjjuu;1;795000;330;44754;25238;1;0
ezjpkp;1;209900;84;44827;41336;3;0
ezjm2x;9;451767;122;44829;14228;10;0
ezjqkr;2;305000;99;44881;11059;1;0
ezjm2y;1;499000;150;44889;13853;6;0
